event,mfi,gate,OmiqFileIndex,genotype,feature
6213,0.66042,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
6238,0.67592,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
6261,0.4678,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
6295,0.43098,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
6326,0.56779,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
6346,0.72363,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
6378,0.79666,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
6401,0.83265,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
6416,0.70493,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
6441,0.98318,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
6459,0.48385,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
6494,0.55633,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
6508,0.73862,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
6536,0.64343,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
6549,0.47577,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
6564,0.39049,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
